Date,Value Date,Description,Category,Debit,Credit,Balance,SourceFile
10/12/2024,09/12/2024,Prelevement automatic -DR DD INTERMEDIATARY FT24345T4WPL\BNK   TELMA S.A F2412340559,Other Expense,249000.0,,17029.39,00001079646~C~BNK_00001079646.pdf
10/12/2024,10/12/2024,Retrait sur GAB confrere  723980 FT24345G7V6Q\BNK  BNI BNI AMPASAMPITO,Withdrawal,10000.0,,7029.39,00001079646~C~BNK_00001079646.pdf
26/12/2024,26/12/2024,Transfer Wallet to Bank Mvola Wallet to Bank FT24361QZC1Q\BNK,Mvola,,70000.0,77029.39,00001079646~C~BNK_00001079646.pdf
26/12/2024,26/12/2024,DB vente carte etrangere  270080 FT24361R7Y7J\BNK  CONTABO COM,Card Payment,67602.62,,9426.77,00001079646~C~BNK_00001079646.pdf
30/12/2024,30/12/2024,Transfer Wallet to Bank Mvola Wallet to Bank FT24365ZB9GB\BNK,Mvola,,350000.0,359426.77,00001079646~C~BNK_00001079646.pdf
30/12/2024,30/12/2024,Retrait sur GAB confrere  709440 FT24365SQ4MB\BNK  BMOI GAB 20 TANTOMBATO,Withdrawal,350000.0,,9426.77,00001079646~C~BNK_00001079646.pdf
30/12/2024,30/12/2024,Virement recus Banque Confrere  RIAKE FT24365S44NT\BNK   Paiement Meristheme,Riake,,500000.0,509426.77,00001079646~C~BNK_00001079646.pdf
31/12/2024,31/12/2024,Retrait sur GAB confrere  351640 FT2436659K4H\BNK  SGMADA Agence MAHAZO,Withdrawal,100000.0,,409426.77,00001079646~C~BNK_00001079646.pdf
31/12/2024,01/01/2025,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20241231,Fees,2000.0,,407426.77,00001079646~C~BNK_00001079646.pdf
31/12/2024,01/01/2025,Frais Tenue de compte 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20241231,Fees,10000.0,,397426.77,00001079646~C~BNK_00001079646.pdf
06/05/2024,06/05/2024,Transfer Wallet to Bank Mvola Wallet to Bank FT24127M95YR\BNK,Mvola,,5000.0,21651.26,MCB Internet Banking Document (17).pdf
06/05/2024,06/05/2024,Virement recus Banque Confrere  RIAKE FT24127YQDB2\BNK   Acompte Mrway,Riake,,900000.0,921651.26,MCB Internet Banking Document (17).pdf
07/05/2024,07/05/2024,Virement recus Banque Confrere  INNOVEO FT2412896VYK\BNK   OV INNOVEO 12 2024,Transfer,,876000.0,1797651.26,MCB Internet Banking Document (17).pdf
07/05/2024,07/05/2024,Retrait sur GAB confrere  610130 FT24128MMFX4\BNK  SGMADA Agence MAHAZO,Withdrawal,400000.0,,1397651.26,MCB Internet Banking Document (17).pdf
07/05/2024,07/05/2024,Re**DEMO** FT24128J3K3Y\BNK  SGMADA Agence MAHAZO,Other Expense,800000.0,,597651.26,MCB Internet Banking Document (17).pdf
10/05/2024,08/05/2024,Frais de virement FT24131X5GXW\BNK,Fees,5000.0,,592651.26,MCB Internet Banking Document (17).pdf
10/05/2024,08/05/2024,TVA FT24131X5GXW\BNK,Tax,1000.0,,591651.26,MCB Internet Banking Document (17).pdf
13/05/2024,13/05/2024,Transfer Bank to Wallet  MVOLA WALLET FT241342Q086\BNK   Mvola Bank to Wallet,Mvola Out,20000.0,,322651.26,MCB Internet Banking Document (17).pdf
14/05/2024,14/05/2024,Transfer Bank to Wallet  MVOLA WALLET FT24135M1JJZ\BNK   Mvola Bank to Wallet,Mvola Out,21000.0,,301651.26,MCB Internet Banking Document (17).pdf
21/05/2024,21/05/2024,DB vente carte etrangere  271950 FT24142NGQ35\BNK  CONTABO.COM,Card Payment,63571.55,,228079.71,MCB Internet Banking Document (17).pdf
21/05/2024,21/05/2024,Transfer Bank to Wallet  MVOLA WALLET FT24142T2ZKJ\BNK   Mvola Bank to Wallet,Mvola Out,5000.0,,223079.71,MCB Internet Banking Document (17).pdf
21/05/2024,21/05/2024,Retrait sur GAB confrere  449710 FT24142KBVHD\BNK  SGMADA Dab Behoririka,Withdrawal,220000.0,,3079.71,MCB Internet Banking Document (17).pdf
31/05/2024,01/06/2024,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20240531,Fees,2000.0,,1079.71,MCB Internet Banking Document (17).pdf
03/11/2023,03/11/2023,Virement recus Banque Confrere BUSINESS PERFORMANCE OFFICE FT23307PP92Y\BNK   Facture Octobre 2023,Transfer,,2926000.0,2925158.67,MCB Internet Banking Document (37).pdf
06/11/2023,06/11/2023,DB vente carte confrere  327000 FT23310FDLRN\BNK  STATION JOVENA TATSINAN,Card Payment,50000.0,,2875158.67,MCB Internet Banking Document (37).pdf
06/11/2023,06/11/2023,Retrait sur GAB confrere  569660 FT23310JG5RM\BNK  SGMADA Agence MAHAZO,Withdrawal,200000.0,,2675158.67,MCB Internet Banking Document (37).pdf
06/11/2023,06/11/2023,DB vente carte etrangere  671910 FT23310GW2TT\BNK  SPOTIFY AB,Card Payment,13836.74,,2661321.93,MCB Internet Banking Document (37).pdf
06/11/2023,06/11/2023,Retrait sur GAB confrere  607840 FT23310L25CH\BNK  BOAMGXB-GAB-02- SABOTSY,Withdrawal,100000.0,,2561321.93,MCB Internet Banking Document (37).pdf
06/11/2023,06/11/2023,DB vente carte etrangere  777630 FT23310ZV5PS\BNK  FIGMA,Card Payment,69415.12,,2491906.81,MCB Internet Banking Document (37).pdf
06/11/2023,06/11/2023,Retrait sur GAB confrere  208010 FT23310WGMDX\BNK  SGMADA Mahazo,Withdrawal,260000.0,,2231906.81,MCB Internet Banking Document (37).pdf
06/11/2023,06/11/2023,Retrait sur GAB confrere  342510 FT23310563C7\BNK  SGMADA Mahazo,Withdrawal,300000.0,,1931906.81,MCB Internet Banking Document (37).pdf
06/11/2023,06/11/2023,Retrait sur GAB confrere  601310 FT23310S1P74\BNK  SGMADA Agence MAHAZO,Withdrawal,250000.0,,1681906.81,MCB Internet Banking Document (37).pdf
06/11/2023,06/11/2023,Retrait sur GAB confrere  606990 FT23310JZJNS\BNK  SGMADA Agence MAHAZO,Withdrawal,500000.0,,1181906.81,MCB Internet Banking Document (37).pdf
09/11/2023,09/11/2023,Retrait sur GAB confrere  257640 FT233139XGQV\BNK  SGMADA Agence MAHAZO,Withdrawal,100000.0,,1081906.81,MCB Internet Banking Document (37).pdf
09/11/2023,09/11/2023,Retrait sur GAB confrere  258260 FT233139M4ZS\BNK  SGMADA Agence MAHAZO,Withdrawal,50000.0,,1031906.81,MCB Internet Banking Document (37).pdf
13/11/2023,13/11/2023,Retrait sur GAB confrere  439480 FT23317DVNJV\BNK  SGMADA Ampefiloha 1,Withdrawal,50000.0,,981906.81,MCB Internet Banking Document (37).pdf
13/11/2023,13/11/2023,DB vente carte confrere  486400 FT23317FF3M5\BNK  STATION JOVENA AMBOHIMA,Card Payment,50000.0,,931906.81,MCB Internet Banking Document (37).pdf
13/11/2023,13/11/2023,Retrait sur GAB confrere  540770 FT233173Q0Q8\BNK  BNI CMT AMBOHIMANGAKELY,Withdrawal,50000.0,,881906.81,MCB Internet Banking Document (37).pdf
14/11/2023,13/11/2023,Frais de virement FT2331861HZQ\BNK,Fees,2000.0,,879906.81,MCB Internet Banking Document (37).pdf
14/11/2023,13/11/2023,TVA FT2331861HZQ\BNK,Tax,400.0,,879506.81,MCB Internet Banking Document (37).pdf
14/11/2023,13/11/2023,Prelevement automatic -DR DD INTERMEDIATARY FT2331861HZQ\BNK   TELMA S.A F2311159385,Other Expense,249000.0,,630506.81,MCB Internet Banking Document (37).pdf
14/11/2023,14/11/2023,Retrait sur GAB confrere  424750 FT233183WHXB\BNK  SGMADA Agence MAHAZO,Withdrawal,300000.0,,330506.81,MCB Internet Banking Document (37).pdf
14/11/2023,14/11/2023,Retrait sur GAB confrere  636910 FT23318XBTCP\BNK  SGMADA Agence MAHAZO,Withdrawal,50000.0,,280506.81,MCB Internet Banking Document (37).pdf
17/11/2023,17/11/2023,Retrait sur GAB confrere  469510 FT23321KYLHH\BNK  BNI BNIANALAMAHITSY,Withdrawal,50000.0,,230506.81,MCB Internet Banking Document (37).pdf
20/11/2023,20/11/2023,Retrait sur GAB confrere  425610 FT23324GJP6Y\BNK  SGMADA Bankin tsika,Withdrawal,150000.0,,80506.81,MCB Internet Banking Document (37).pdf
21/11/2023,21/11/2023,Retrait sur GAB confrere  700090 FT233252QD04\BNK  SGMADA Mahazo,Withdrawal,30000.0,,50506.81,MCB Internet Banking Document (37).pdf
24/11/2023,24/11/2023,Retrait sur GAB confrere  634760 FT23328KW520\BNK  SGMADA Agence MAHAZO,Withdrawal,30000.0,,20506.81,MCB Internet Banking Document (37).pdf
30/11/2023,01/12/2023,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20231130,Fees,2000.0,,18506.81,MCB Internet Banking Document (37).pdf
30/11/2023,01/12/2023,Frais Tenue de compte 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20231130,Fees,10000.0,,8506.81,MCB Internet Banking Document (37).pdf
02/09/2024,02/09/2024,Transfer Bank to Wallet  MVOLA WALLET FT24246943C3\BNK   Mvola Bank to Wallet,Mvola Out,20000.0,,87657.76,MCB Internet Banking Document (21).pdf
04/09/2024,04/09/2024,Retrait sur GAB confrere  638520 FT242489G1WG\BNK  SGMADA Mahazo,Withdrawal,10000.0,,77657.76,MCB Internet Banking Document (21).pdf
09/09/2024,09/09/2024,Retrait sur GAB confrere  714130 FT24253KKQ47\BNK  SGMADA Mahazo,Withdrawal,50000.0,,27657.76,MCB Internet Banking Document (21).pdf
09/09/2024,09/09/2024,Retrait sur GAB confrere  REV FT24253V8VHR\BNK   714580 SGMADA Mahazo,Other Income,,50000.0,77657.76,MCB Internet Banking Document (21).pdf
10/09/2024,10/09/2024,Transfer Wallet to Bank Mvola Wallet to Bank FT242549L721\BNK,Mvola,,300000.0,377657.76,MCB Internet Banking Document (21).pdf
11/09/2024,09/09/2024,Frais de virement FT24254K846J\BNK,Fees,5000.0,,372657.76,MCB Internet Banking Document (21).pdf
11/09/2024,09/09/2024,TVA FT24254K846J\BNK,Tax,1000.0,,371657.76,MCB Internet Banking Document (21).pdf
11/09/2024,09/09/2024,Prelevement automatic -DR DD INTERMEDIATARY FT24254K846J\BNK   TELMA S.A F2409991252,Other Expense,249000.0,,122657.76,MCB Internet Banking Document (21).pdf
16/09/2024,16/09/2024,Retrait sur GAB confrere  631480 FT242604QT6Z\BNK  SGMADA Mahazo,Withdrawal,30000.0,,92657.76,MCB Internet Banking Document (21).pdf
17/09/2024,17/09/2024,Transfer Bank to Wallet  MVOLA WALLET FT24261RN5T9\BNK   Mvola Bank to Wallet,Mvola Out,2000.0,,90657.76,MCB Internet Banking Document (21).pdf
17/09/2024,17/09/2024,Retrait sur GAB confrere  668990 FT24261B7S0J\BNK  SGMADA Mahazo,Withdrawal,20000.0,,70657.76,MCB Internet Banking Document (21).pdf
19/09/2024,19/09/2024,DB vente carte etrangere  247260 FT242639BFYR\BNK  WWW CONTABO COM,Card Payment,65232.96,,5424.8,MCB Internet Banking Document (21).pdf
20/09/2024,20/09/2024,Virement recus Banque Confrere  RIAKE FT24264HJX88\BNK   Inscirkle,Riake,,600000.0,605424.8,MCB Internet Banking Document (21).pdf
20/09/2024,20/09/2024,Retrait sur GAB confrere  706920 FT2426474P1J\BNK  SGMADA Agence MAHAZO-An,Withdrawal,50000.0,,555424.8,MCB Internet Banking Document (21).pdf
20/09/2024,20/09/2024,Frais de virement FT24264W7KLR\BNK,Fees,1275.0,,554149.8,MCB Internet Banking Document (21).pdf
20/09/2024,20/09/2024,TVA FT24264W7KLR\BNK,Tax,255.0,,553894.8,MCB Internet Banking Document (21).pdf
20/09/2024,20/09/2024,Transfer Bank to Wallet  MVOLA WALLET FT24264W7KLR\BNK   Mvola Bank to Wallet,Mvola Out,255000.0,,298894.8,MCB Internet Banking Document (21).pdf
30/09/2024,01/10/2024,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20240930,Fees,2000.0,,296894.8,MCB Internet Banking Document (21).pdf
30/09/2024,01/10/2024,Frais Tenue de compte 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20240930,Fees,10000.0,,286894.8,MCB Internet Banking Document (21).pdf
01/08/2024,31/07/2024,Transfert compte a compte MCB MADAGASCAR FT24213C1RKV\B99   EXT SGM MAHAZO 210624,Other Income,,400000.0,429716.04,MCB Internet Banking Document (20).pdf
02/08/2024,02/08/2024,Retrait sur GAB confrere  542380 FT24215T0KZP\BNK  BNI LA CITY ALAROBIA,Withdrawal,20000.0,,409716.04,MCB Internet Banking Document (20).pdf
09/08/2024,08/08/2024,Frais de virement FT242226HDGJ\BNK,Fees,5000.0,,404716.04,MCB Internet Banking Document (20).pdf
09/08/2024,08/08/2024,TVA FT242226HDGJ\BNK,Tax,1000.0,,403716.04,MCB Internet Banking Document (20).pdf
09/08/2024,08/08/2024,Prelevement automatic -DR DD INTERMEDIATARY FT242226HDGJ\BNK   TELMA S.A F2408864098,Other Expense,249000.0,,154716.04,MCB Internet Banking Document (20).pdf
09/08/2024,09/08/2024,Virement recus Banque Confrere  RIAKE FT24222NM13Y\BNK   Suite Paiement Mrway,Riake,,600000.0,754716.04,MCB Internet Banking Document (20).pdf
12/08/2024,12/08/2024,DB vente carte confrere  467450 FT24225G3BF5\BNK  S2M,Card Payment,69850.0,,684866.04,MCB Internet Banking Document (20).pdf
12/08/2024,12/08/2024,DB vente carte confrere  468920 FT242254WMZ8\BNK  S2M,Card Payment,14830.0,,670036.04,MCB Internet Banking Document (20).pdf
12/08/2024,12/08/2024,DB vente carte confrere  470030 FT24225B9XNB\BNK  S2M,Card Payment,6900.0,,663136.04,MCB Internet Banking Document (20).pdf
12/08/2024,12/08/2024,DB vente carte etrangere  345440 FT2422574WR9\BNK  NAME-CHEAP.COM VZ4RNI,Card Payment,160667.05,,502468.99,MCB Internet Banking Document (20).pdf
19/08/2024,19/08/2024,Retrait sur GAB confrere  627810 FT24232Y8RN4\BNK  BNI BNIANALAMAHITSY,Withdrawal,50000.0,,452468.99,MCB Internet Banking Document (20).pdf
19/08/2024,19/08/2024,DB vente carte confrere  466180 FT24232ZB912\BNK  SOCIETE LIANTSOA,Card Payment,66910.0,,385558.99,MCB Internet Banking Document (20).pdf
19/08/2024,19/08/2024,Retrait sur GAB confrere  467310 FT242327GN9F\BNK  SGMADA Mahazo 2,Withdrawal,50000.0,,335558.99,MCB Internet Banking Document (20).pdf
19/08/2024,19/08/2024,DB vente carte etrangere  248780 FT24232RVLMG\BNK  CONTABO-COM,Card Payment,65901.23,,269657.76,MCB Internet Banking Document (20).pdf
26/08/2024,26/08/2024,Retrait sur GAB confrere  590310 FT24239BL5Q3\BNK  SGMADA Agence MAHAZO-An,Withdrawal,50000.0,,219657.76,MCB Internet Banking Document (20).pdf
26/08/2024,26/08/2024,Retrait sur GAB confrere  711410 FT24239CHXKS\BNK  SGMADA Agence MAHAZO,Withdrawal,20000.0,,199657.76,MCB Internet Banking Document (20).pdf
27/08/2024,27/08/2024,Retrait sur GAB confrere  639020 FT2424030VZL\BNK  SGMADA Agence MAHAZO-An,Withdrawal,50000.0,,149657.76,MCB Internet Banking Document (20).pdf
30/08/2024,30/08/2024,Retrait sur GAB confrere  737950 FT24243425J4\BNK  SGMADA Mahazo 2,Withdrawal,30000.0,,119657.76,MCB Internet Banking Document (20).pdf
30/08/2024,01/09/2024,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20240831,Fees,2000.0,,117657.76,MCB Internet Banking Document (20).pdf
30/08/2024,01/09/2024,Frais Tenue de compte 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20240831,Fees,10000.0,,107657.76,MCB Internet Banking Document (20).pdf
02/10/2023,02/10/2023,DB vente carte etrangere  275920 FT23275F3Q3Z\BNK  SPOTIFY AB,Card Payment,13900.39,,788260.34,MCB Internet Banking Document (36).pdf
02/10/2023,02/10/2023,DB vente carte etrangere  738310 FT23275D1P7T\BNK  FIGMA,Card Payment,69734.38,,718525.96,MCB Internet Banking Document (36).pdf
02/10/2023,02/10/2023,Retrait sur GAB confrere  279250 FT23275518WM\BNK  SGMADA Agence MAHAZO,Withdrawal,120000.0,,598525.96,MCB Internet Banking Document (36).pdf
02/10/2023,02/10/2023,DB vente carte etrangere  365570 FT23275QCH5D\BNK  SmartGlocal,Card Payment,49367.29,,549158.67,MCB Internet Banking Document (36).pdf
02/10/2023,02/10/2023,Retrait sur GAB confrere  712260 FT23275ZP9KR\BNK  SGMADA Mahazo 2,Withdrawal,140000.0,,409158.67,MCB Internet Banking Document (36).pdf
03/10/2023,03/10/2023,Virement recus Banque Confrere BUSINESS PERFORMANCE OFFICE FT23276G9C4M\BNK   Facture 09 2023,Transfer,,1729000.0,2138158.67,MCB Internet Banking Document (36).pdf
04/10/2023,04/10/2023,DB vente carte confrere  304140 FT23277MMCZH\BNK  SOCIETE LIANTSOA,Card Payment,55600.0,,2082558.67,MCB Internet Banking Document (36).pdf
04/10/2023,04/10/2023,Retrait sur GAB confrere  305910 FT23277T2LTP\BNK  SGMADA Mahazo 2,Withdrawal,50000.0,,2032558.67,MCB Internet Banking Document (36).pdf
04/10/2023,04/10/2023,Retrait sur GAB confrere  323160 FT232772V5PY\BNK  SGMADA Agence MAHAZO,Withdrawal,50000.0,,1982558.67,MCB Internet Banking Document (36).pdf
04/10/2023,04/10/2023,Retrait sur GAB confrere  408860 FT23277PRW5S\BNK  SGMADA Mahazo,Withdrawal,400000.0,,1582558.67,MCB Internet Banking Document (36).pdf
05/10/2023,05/10/2023,Retrait sur GAB confrere  334100 FT23278RJ0DK\BNK  SGMADA Mahazo,Withdrawal,400000.0,,1182558.67,MCB Internet Banking Document (36).pdf
05/10/2023,05/10/2023,DB vente carte confrere  473800 FT23278P6HYB\BNK  STATION JOVENA TATSINAN,Card Payment,100000.0,,1082558.67,MCB Internet Banking Document (36).pdf
06/10/2023,06/10/2023,Retrait sur GAB confrere  307440 FT232797JHGG\BNK  BNI TANA WATER FRONT,Withdrawal,200000.0,,882558.67,MCB Internet Banking Document (36).pdf
09/10/2023,09/10/2023,Retrait sur GAB confrere  740100 FT23282TYSWF\BNK  SGMADA Mahazo,Withdrawal,50000.0,,832558.67,MCB Internet Banking Document (36).pdf
09/10/2023,09/10/2023,Retrait sur GAB confrere  282570 FT23282ZDK3P\BNK  MAHAZO,Withdrawal,300000.0,,532558.67,MCB Internet Banking Document (36).pdf
09/10/2023,09/10/2023,Retrait sur GAB confrere  332340 FT23282D666H\BNK  SGMADA Mahazo,Withdrawal,150000.0,,382558.67,MCB Internet Banking Document (36).pdf
10/10/2023,09/10/2023,Frais de virement FT232830LN1S\BNK,Fees,2000.0,,380558.67,MCB Internet Banking Document (36).pdf
10/10/2023,09/10/2023,TVA FT232830LN1S\BNK,Tax,400.0,,380158.67,MCB Internet Banking Document (36).pdf
10/10/2023,09/10/2023,Prelevement automatic -DR DD INTERMEDIATARY FT232830LN1S\BNK   TELMA S.A F2310098654,Other Expense,249000.0,,131158.67,MCB Internet Banking Document (36).pdf
11/10/2023,11/10/2023,Retrait sur GAB confrere  527420 FT23284B5LGL\BNK  BOAMGXB-GAB-1- AMPANDRAN,Withdrawal,50000.0,,81158.67,MCB Internet Banking Document (36).pdf
17/10/2023,17/10/2023,DB vente carte confrere  626530 FT2329026G98\BNK  SOCIETE LIANTSOA,Card Payment,10000.0,,71158.67,MCB Internet Banking Document (36).pdf
18/10/2023,18/10/2023,Retrait sur GAB confrere  660170 FT23291281H5\BNK  SGMADA Mahazo 2,Withdrawal,40000.0,,31158.67,MCB Internet Banking Document (36).pdf
24/10/2023,24/10/2023,Retrait sur GAB confrere  325850 FT23297YL1CH\BNK  SGMADA Agence MAHAZO,Withdrawal,20000.0,,11158.67,MCB Internet Banking Document (36).pdf
31/10/2023,01/11/2023,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20231031,Fees,2000.0,,9158.67,MCB Internet Banking Document (36).pdf
03/04/2024,03/04/2024,DB vente carte confrere  425850 FT240940ML6Y\BNK  STATION JOVENA TATSINAN,Card Payment,20000.0,,29124.24,MCB Internet Banking Document (16).pdf
08/04/2024,08/04/2024,Depot en especes  LUI MEME TT24099QDLVD,Other Income,,260000.0,289124.24,MCB Internet Banking Document (16).pdf
09/04/2024,09/04/2024,DB vente carte confrere  351980 FT24100RY3YC\BNK  ROVACOM PRO SARL,Card Payment,20000.0,,269124.24,MCB Internet Banking Document (16).pdf
11/04/2024,11/04/2024,Transfer Wallet to Bank Mvola Wallet to Bank FT24102CQ79F\BNK,Mvola,,5000.0,274124.24,MCB Internet Banking Document (16).pdf
11/04/2024,11/04/2024,Transfer Wallet to Bank Mvola Wallet to Bank FT241027KXMD\BNK,Mvola,,760000.0,1034124.24,MCB Internet Banking Document (16).pdf
11/04/2024,11/04/2024,JUICE Virement autre banque locale RASOLONIRINA MAMPIONONA IRIS FT24102B17HK\BNK   Magileads,Other Expense,660000.0,,374124.24,MCB Internet Banking Document (16).pdf
11/04/2024,11/04/2024,Frais de virement FT241021SJ8Q\BNK,Fees,600.0,,373524.24,MCB Internet Banking Document (16).pdf
11/04/2024,11/04/2024,TVA FT241021SJ8Q\BNK,Tax,120.0,,373404.24,MCB Internet Banking Document (16).pdf
11/04/2024,11/04/2024,Transfer Bank to Wallet  MVOLA WALLET FT241021SJ8Q\BNK   Mvola Bank to Wallet,Mvola Out,120000.0,,253404.24,MCB Internet Banking Document (16).pdf
12/04/2024,11/04/2024,Frais de virement FT24103WV9FR\BNK,Fees,2000.0,,251404.24,MCB Internet Banking Document (16).pdf
12/04/2024,11/04/2024,TVA FT24103WV9FR\BNK,Tax,400.0,,251004.24,MCB Internet Banking Document (16).pdf
12/04/2024,11/04/2024,Prelevement automatic -DR DD INTERMEDIATARY FT24103WV9FR\BNK   TELMA S.A F2404521080,Other Expense,249000.0,,2004.24,MCB Internet Banking Document (16).pdf
19/04/2024,19/04/2024,Transfer Wallet to Bank Mvola Wallet to Bank FT24110SZ1DQ\BNK,Mvola,,90000.0,92004.24,MCB Internet Banking Document (16).pdf
22/04/2024,22/04/2024,DB vente carte etrangere  250280 FT24113JLQ29\BNK  CONTABO.COM,Card Payment,63352.98,,28651.26,MCB Internet Banking Document (16).pdf
30/04/2024,01/05/2024,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20240430,Fees,2000.0,,26651.26,MCB Internet Banking Document (16).pdf
30/04/2024,01/05/2024,Frais Tenue de compte 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20240430,Fees,10000.0,,16651.26,MCB Internet Banking Document (16).pdf
13/06/2023,13/06/2023,Depot en especes  LUI MEME TT23164K5L4W,Other Income,,300000.0,291780.9,MCB Internet Banking Document (31).pdf
14/06/2023,14/06/2023,DB vente carte etrangere  068350 FT231652YG8Y\BNK  SPOTIFY AB,Card Payment,13625.24,,278155.66,MCB Internet Banking Document (31).pdf
16/06/2023,16/06/2023,Frais de virement FT231672QH82\BNK,Fees,2000.0,,276155.66,MCB Internet Banking Document (31).pdf
16/06/2023,16/06/2023,TVA FT231672QH82\BNK,Tax,400.0,,275755.66,MCB Internet Banking Document (31).pdf
16/06/2023,16/06/2023,Transfert compte a compte TELMA MOBILE FT231672QH82\BNK   F2306871760 TELMA SA,Other Expense,249000.0,,26755.66,MCB Internet Banking Document (31).pdf
19/06/2023,19/06/2023,DB vente carte etrangere  598360 FT23170LX8ZB\BNK  PAYPAL,Card Payment,4585.42,,22170.24,MCB Internet Banking Document (31).pdf
19/06/2023,19/06/2023,DB vente carte etrangere  598880 FT231704L1H3\BNK  PAYPAL,Card Payment,4585.42,,17584.82,MCB Internet Banking Document (31).pdf
19/06/2023,19/06/2023,DB vente carte etrangere  600300 FT23170R56BG\BNK  PAYPAL,Card Payment,4585.42,,12999.4,MCB Internet Banking Document (31).pdf
