Name,Category,Legal_Status,Year_Founded,Domain_Activity,Value_Chain_Segment,Geographic_Scope,Website,Email,Phone,Address,Leadership,Partnerships,Key_Metrics,Primary_Source,Publication_Date
AQUALMA,Private Agribusiness,Private Company,1990,Aquaculture & Fish Processing,Aquaculture,Regional,https://www.madayp.com/company/30/Aqualma,,+261 20 62 239 59,"Immeuble Scim, Mahajanga",,"Local fishermen",Aquaculture development,https://www.madayp.com/company/30/Aqualma,2025-08-05
FATAPLUS,AgriTech Startup,Private Company,2020,B2B Agricultural Marketplace,Digital Platform,National,https://fata.plus,,,"Antananarivo",,"MINAE, MNDPT",B2B agricultural platform,https://fata.plus,2025-08-05
Agritech Madagascar Association,AgriTech Association,Professional Association,2023,Agricultural Technology Innovation,Technology & Innovation,National,,,,"Antananarivo",,"MINAE, MNDPT",ICT tools in agriculture,https://www.digigasy.com/le-minae-le-mndpt-et-lagritech-mada-ensemble-pour/,2025-08-05
LR Group Ltd (Israeli Partnership),AgriTech Company,International Company,2025,Smart Agriculture Technology,Technology & Innovation,National,,,,"Israel-Madagascar",,"Government of Madagascar",$90M smart agriculture project,https://www.techinafrica.com/madagascar-partners-with-israeli-firm-on-90-million-smart-agriculture-plan/,2025-08-05
IDEMCO,Private Agribusiness,Private Company,2010,Sustainable Agribusiness Consulting,Consulting & Services,National,https://idemco.mg,,,"Antananarivo",,"Export companies, producer groups",Sustainable agribusiness,https://idemco.mg,2025-08-05
SMTP Group,Private Agribusiness,Private Company,1995,Poultry Production,Production & Processing,National,,,,"Antananarivo",,"IFC, GAFSP",Leading poultry producer,https://www.gafspfund.org/index.php/projects/supporting-agribusiness-in-madagascar,2025-08-05
NCBA CLUSA Madagascar,NGO,International NGO,1916,Cooperative Development,Cooperative Development,National,https://ncbaclusa.coop,,,"Antananarivo",,"USAID",Cooperative development projects,https://ncbaclusa.coop,2025-08-05
Forum du Conseil Agricole de Madagascar (FCA),Professional Federation,Industry Forum,2005,Agricultural Advisory Services,Advisory Services,National,http://fca-madagascar.org,,,"Antananarivo",,"Agricultural organizations",Advisory services,http://fca-madagascar.org,2025-08-05
Inter Aide Madagascar,NGO,International NGO,1980,Rural Development & Agriculture,Rural Development,Regional,,,,"Antananarivo",,"Local communities",Fagnimbogna federation support,https://interaide.org/en/cross/madagascar-agriculture,2025-08-05
Louvain Coopération Madagascar,NGO,International NGO,1977,Agricultural Cooperative Support,Cooperative Development,National,https://louvaincooperation.org,,,"Antananarivo",,"Local cooperatives",Cooperative development,https://louvaincooperation.org,2025-08-05
Commodity PV Ltd SARLU,Private Agribusiness,Private Company,2017,Agricultural Commodities,Commodity Trading,Regional,https://www.madayp.com/company/12584/Commodity_Pv_Ltd_Sarlu,,+261340595732,"Belle rose secteur n7, Antalaha",,"Local traders",Commodity trading,https://www.madayp.com/company/12584/Commodity_Pv_Ltd_Sarlu,2025-08-05
RIVOTRA,Private Agribusiness,Private Company,2018,Agricultural Services,Agricultural Services,Regional,https://www.madayp.com/company/12404/Rivotra,,(+261)345258538,"Ambovoalanana Lot 98, Mahajanga",,"Local farmers",Agricultural services,https://www.madayp.com/company/12404/Rivotra,2025-08-05
JUMBO NET,Private Agribusiness,Private Company,2003,Agricultural Equipment,Equipment & Services,National,https://www.madayp.com/company/135/Jumbo_Net,,020 22 693 21,"Lot Iv C 108 Ankadifotsy",,"Farmers",Agricultural equipment,https://www.madayp.com/company/135/Jumbo_Net,2025-08-05
PROCHIMAD,Private Agribusiness,Private Company,1985,Agricultural Chemicals,Inputs & Chemicals,National,https://www.madayp.com/company/131/Prochimad,,+261 20 22 037 28,"Mandrosoa Ivato",,"Farmers",Agricultural chemicals,https://www.madayp.com/company/131/Prochimad,2025-08-05
CODAL - Comptoir industriel de produits alimentaires,Private Agribusiness,Private Company,1990,Food Processing,Processing & Manufacturing,National,https://www.madayp.com/company/6379/CODAL_Comptoir_industriel_de_produits_alimentaires,,(+261) 20 22 234 24,"Rte des hydrocarbures Ankorondrano",,"Local producers",Food processing,https://www.madayp.com/company/6379/CODAL_Comptoir_industriel_de_produits_alimentaires,2025-08-05
COPEFRITO SA,Private Agribusiness,Private Company,1980,Fishery Products,Fishery & Processing,Regional,https://www.madayp.com/company/166/Copefrito_Sa,,020 94 438 02,"Avenue De France Mahavatse Ii, Toliara",,"Local fishermen",Fishery processing,https://www.madayp.com/company/166/Copefrito_Sa,2025-08-05
MADAUTO,Private Agribusiness,Private Company,1985,Agricultural Machinery,Machinery & Equipment,Regional,https://www.madayp.com/company/117/Madauto,,+261 20 53 322 71,"7, Boulevard Augagneur, Toamasina",,"Farmers",Agricultural machinery,https://www.madayp.com/company/117/Madauto,2025-08-05
MATERAUTO,Private Agribusiness,Private Company,1990,Agricultural Equipment,Equipment & Services,Regional,https://www.madayp.com/company/143/Materauto,,+261 20 53 306 96,"Rue Lieutnant Bernard Ampasimazava, Toamasina",,"Farmers",Agricultural equipment,https://www.madayp.com/company/143/Materauto,2025-08-05
HOMEOPHARMA,Private Agribusiness,Private Company,1995,Agricultural & Veterinary Products,Inputs & Pharmaceuticals,National,https://www.madayp.com/company/173/Homeopharma,,+261 20 22 349 19,"Immeuble Shoprite Analakely",,"Farmers, veterinarians",Veterinary products,https://www.madayp.com/company/173/Homeopharma,2025-08-05
LFL Madagascar,Private Agribusiness,Private Company,1990,Agricultural Services,Agricultural Services,Regional,https://www.madayp.com/company/184/Lfl_Madagascar,,+261 20 24 265 74,"Pk 24, Andakana Route De Majunga",,"Local farmers",Agricultural services,https://www.madayp.com/company/184/Lfl_Madagascar,2025-08-05
AIR FORT SERVICES,Private Agribusiness,Private Company,1995,Agricultural Logistics,Logistics & Transport,Regional,,,020 92 212 24,"Tolagnaro",,"Agricultural exporters",Logistics services,https://www.madayp.com/company/126/Air_Fort_Services,2025-08-05
ENERGIE TECHNOLOGIE,Private Agribusiness,Private Company,2000,Agricultural Technology,Technology & Innovation,National,https://www.madayp.com/company/110/Energie_Technologie,,020 22 360 62,"Centre Commercial Conquete Antanimena",,"Agricultural sector",Energy technology,https://www.madayp.com/company/110/Energie_Technologie,2025-08-05
FLORIBIS,Private Agribusiness,Private Company,1990,Horticulture & Floriculture,Horticulture,National,https://www.madayp.com/company/46/Floribis,,020 22 631 84,"Hotel Colbert Antaninarenina",,"Horticulture sector",Floriculture,https://www.madayp.com/company/46/Floribis,2025-08-05
B DE L (Bernadette De Lavernette),Private Agribusiness,Private Company,1995,Agricultural Consulting,Consulting & Services,National,https://www.madayp.com/company/76/B_De_L_bernadette_De_Lavernette,,020 22 531 13,"Lot Mf 35 Androhibe",,"Agricultural sector",Agricultural consulting,https://www.madayp.com/company/76/B_De_L_bernadette_De_Lavernette,2025-08-05
